"filename", "language", "TypeScript", "SCSS", "vue", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/EvolutionMonitor.vue", "vue", 0, 0, 189, 0, 0, 0, 0, 0, 0, 34, 223
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/LiveTerminal.vue", "vue", 0, 0, 255, 0, 0, 0, 0, 0, 0, 43, 298
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/LossChartCard.vue", "vue", 0, 0, 296, 0, 0, 0, 0, 0, 0, 43, 339
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/McpToolsPanel.vue", "vue", 0, 0, 308, 0, 0, 0, 0, 0, 0, 47, 355
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/SeedUploadZone.vue", "vue", 0, 0, 360, 0, 0, 0, 0, 0, 0, 63, 423
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/SmartCanvas.vue", "vue", 0, 0, 1011, 0, 0, 0, 0, 0, 0, 155, 1166
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/TrainingDetailsCard.vue", "vue", 0, 0, 279, 0, 0, 0, 0, 0, 0, 34, 313
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/YoloMetricsCard.vue", "vue", 0, 0, 283, 0, 0, 0, 0, 0, 0, 43, 326
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/components/workspace/types.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 7, 36
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/composables/useTheme.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 39, 22, 137
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/locales/en.json", "JSON", 0, 0, 0, 0, 164, 0, 0, 0, 0, 2, 166
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/locales/zh-CN.json", "JSON", 0, 0, 0, 0, 266, 0, 0, 0, 0, 1, 267
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/main.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 16, 12, 53
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/mock/agents.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 6, 105
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/mock/jobStatus.ts", "TypeScript", 186, 0, 0, 0, 0, 0, 0, 0, 51, 33, 270
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/mock/mcpTools.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/mock/projects.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 27, 8, 142
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/mock/systemMetrics.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/router/index.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 3, 7, 53
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/store/app.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 14, 16, 93
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/store/mission.ts", "TypeScript", 196, 0, 0, 0, 0, 0, 0, 0, 67, 41, 304
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/types/electron.d.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/utils/retry.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 6, 43
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/views/CoPilotWorkspaceView.vue", "vue", 0, 0, 178, 0, 0, 0, 0, 0, 0, 29, 207
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/views/DashboardView.vue", "vue", 0, 0, 218, 0, 0, 0, 0, 0, 0, 27, 245
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/src/views/WorkspaceView.vue", "vue", 0, 0, 325, 0, 0, 0, 0, 0, 0, 62, 387
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 3, 2, 69
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 3, 5, 34
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/sunminghao/Desktop/EvoLabeler/evolauncher-frontend/vite.config.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 8, 3, 101
"Total", "-", 1871, 405, 8986, 97, 588, 26, 897, 13, 572, 2085, 15540
